% Removed, ,P1 RMSSD,P1 RMSE,P1 Mean,P1 SampEn,P1 D2,,P2 RMSSD,P2 RMSE,P2 Mean,P2 SampEn,P2 D2,,P3 RMSSD,P3 RMSE,P3 Mean,P3 SampEn,P3 D2,,P4 RMSSD,P4 RMSE,P4 Mean,P4 SampEn,P4 D2,,P5 RMSSD,P5 RMSE,P5 Mean,P5 SampEn,P5 D2,,P6 RMSSD,P6 RMSE,P6 Mean,P6 SampEn,P6 D2,,P8 RMSSD,P8 RMSE,P8 Mean,P8 SampEn,P8 D2,
Baseline
0, ,23.327519892983705,49.70867730773947,833.3732590529248,1.3120220209432374,1, ,42.19801804910521,58.1557435322198,776.0129533678756,1.5414542588892202,1, ,32.215761098535616,53.290106620132114,981.062295081967,1.4631873370517816,1, ,32.44979490211365,59.338878657458956,807.355795148248,1.4282167099841594,1, ,31.172009475767446,43.64576644006315,725.3050847457627,1.4694971308949325,1, ,24.37001099502133,33.46667103913474,850.7698863636364,1.5556133060702344,1, ,88.90619575617718,114.69111296243237,1019.5255972696245,1.5784233669924634,1, 
Condition
0, ,23.45169316157697,50.14649810491645,772.6082474226808,1.1594344100630514,1, ,27.623681807645855,40.316190969199,722.596618357488,1.6630135096965264,1, ,36.25453136886113,68.56885923385619,888.0892857142853,1.4898012187147363,1, ,30.726694090470268,45.85161820910843,804.7897574123986,1.8178804152197872,1, ,16.849783736602916,37.32941117258208,744.5621890547266,1.237472861952132,1, ,28.84826203122359,55.43071149172822,809.1972972972975,1.0450021572942825,1, ,100.73261268953797,110.1523284540193,1102.3321033210336,1.8766839911771012,1, 
1.1787591107321447, ,23.88404580424235,50.1920468350222,772.7989556135782,1.151766806011988,1, ,27.826537270570547,40.2625672808069,722.677261613692,1.6652842159685186,1, ,36.59317454062037,68.68481721061701,887.4638554216857,1.5021143713386216,1, ,31.23924472452239,45.77623645454183,804.2677595628412,1.820037114379113,1, ,16.92302836046592,37.241098986355354,744.6750629722927,1.2508453481573094,1, ,29.06453599745216,55.734424684858645,809.4219178082195,1.0659030360946968,1, ,100.96906397357432,109.1179246768529,1102.1872659176042,1.9257699211686423,1, 
3.258141899890311, ,24.02995011800358,49.24039635186534,772.3173333333327,1.221433853904811,1, ,28.404657389298666,40.286070716191695,721.9975,1.6847064056412473,1, ,37.6681825325859,68.421237299607,887.8369230769227,1.511293052003747,1, ,30.91680351354981,45.7398215684487,804.9972067039093,1.8001095403308,1, ,17.20194688819657,37.23077329475451,744.3530927835036,1.2655155068571633,1, ,30.421385145274417,55.95063006694697,809.3137254901956,1.0956945910607618,1, ,101.34584768461555,109.26568720208562,1101.4923664122136,1.9742258626727136,1, 
3.8848808961893013, ,24.53563336419538,50.58280946779208,772.018817204301,1.1608324676249469,1, ,28.614072613230693,40.33319012028468,722.5516372795968,1.7622386621575188,1, ,37.885916633063104,68.797615143735,888.6180124223595,1.4715782721108803,1, ,30.893912067209634,45.78408649715686,804.9971910112343,1.8394168155948196,1, ,17.471906949954136,37.72656819124373,744.4481865284974,1.243106679681242,1, ,31.92629223059167,55.231675590140064,809.352112676057,1.0892630164779065,1, ,103.0845512694585,109.98904860762075,1099.573076923076,1.9967536714472545,1, 
3.9014679550072158, ,24.63922978108162,50.40059455497772,772.0564516129043,1.175539657692042,1, ,28.333021388657947,40.11290716235814,722.9496221662464,1.6993763118559162,1, ,37.62418689157184,68.65932429314482,888.3291925465835,1.5111689439332812,1, ,31.465250226727168,45.28806610965905,805.26404494382,1.7815870764725703,1, ,17.81040116366299,37.36719070422584,745.2305699481872,1.2226519977112118,1, ,29.9326456705033,55.8863168639381,809.5239436619727,1.0744898204453759,1, ,102.12067961306411,109.85222833882882,1102.5846153846157,1.9264925317825454,1, 
6.484528007573191, ,24.27770998706825,50.314712075232045,773.4861878453032,1.199147253588727,1, ,29.10713638613191,39.97159635599699,722.9870801033597,1.8252724180086268,1, ,38.02996128411134,69.16528160837962,888.76433121019,1.6049385913514953,1, ,31.630841672760994,46.11879958358431,804.962427745664,1.8085551374009086,1, ,17.694223958614224,37.50140510552796,744.4186666666669,1.2708852489987643,1, ,30.65516482478346,54.977127563322405,808.1242774566471,1.191626910096394,1, ,103.00500835412576,109.75343030379877,1102.7509881422927,1.9134849713570914,1, 
2.5844879894650763, ,24.291667426978876,50.19368939119453,772.5066312997336,1.1973156913294298,1, ,28.26918403790615,40.15952050165048,722.8908188585618,1.7201509597488973,1, ,37.521568439485414,68.39779361433875,888.7431192660547,1.4970655273756148,1, ,31.032778369538953,45.812904636789526,804.2243767313021,1.8262751222547717,1, ,17.18727913611825,36.89476375050851,744.0383631713565,1.2472135958598622,1, ,29.319296886458645,55.44343623832982,810.1305555555552,1.0651953738266926,1, ,102.61404007919792,110.71693268101843,1100.980988593156,1.8852166487419884,1, 
4.569156856912769, ,25.855864813565535,50.075662328454385,772.2513513513516,1.1760200145877664,1, ,28.01590375026212,40.311575803073104,722.2607594936698,1.689500176616812,1, ,37.97272573421734,69.33186017941016,888.6562500000007,1.5569557481800615,1, ,31.272085679976367,45.70116353476209,804.7570621468914,1.8060480318944814,1, ,18.00683407206179,36.50840781502199,744.7650130548296,1.2354608874781674,1, ,30.711450337262548,55.967035787584734,808.8243626062323,1.075034025937172,1, ,102.68216232211553,108.09875700279616,1102.232558139535,1.9497556347177671,1, 
8.374160753015516, ,25.386948913592807,50.513023219552316,773.0591549295768,1.2792034469265536,1, ,28.99256427204348,40.1877739775214,722.5145118733514,1.719398144833445,1, ,39.722443895348114,68.86191341352502,888.2442996742647,1.5040239273950868,1, ,31.06930599719603,45.540692211529205,805.4808259587007,1.7655805152075446,1, ,18.607080191225993,37.90779842558154,744.934782608696,1.2992667504767783,1, ,33.13858295813416,56.23819559515453,809.9469026548683,1.1964085176498942,1, ,101.33973007014345,110.260784605172,1104.6048387096773,2.0475783642872507,1, 
2.3890004348183185, ,23.65843370578832,50.11451486999765,772.5873015873012,1.1866127299232416,1, ,28.00394335932459,40.25495917051417,722.6608910891086,1.6628975310786533,1, ,37.01471271068631,69.08968709476551,887.354740061162,1.51223009767466,1, ,30.953185990965984,45.855357524293375,804.4834254143634,1.7904605820907573,1, ,17.170574961296293,37.504299350931895,744.7346938775516,1.2856234611705502,1, ,29.236582867662673,55.741769898443714,808.8448753462599,1.0775772262562546,1, ,101.80391948650241,109.21295545665564,1101.325757575758,1.882303302530461,1, 
4.645844691240165, ,24.397578728762618,50.06270214488797,772.2005420054213,1.1910355279112441,1, ,28.413656538051555,39.54823809132586,723.0177664974625,1.7733226056890952,1, ,37.916051472263696,69.15148226899925,886.6000000000006,1.5696968074056805,1, ,32.22796992449381,45.78010229315589,805.2832861189805,1.8021271560943006,1, ,17.62271855941471,37.61470686647848,744.4960835509146,1.2271325044876933,1, ,29.81151615947216,55.58688734883194,809.9005681818194,1.0766820138791913,1, ,100.87577597713467,108.99258500339222,1101.9883720930243,1.86012080894333,1, 
